"index","lastName","givenName","lastNameKana","givenNameKana","nationality","birthYear","birthMonth","birthDay","gender","telephone","postalCode","prefecture","city","street","building","email","pledgedAmount","confirmedPledgedAmount","bankCode","branchCode","accountNumber","accountType","accountName","eposnetCustomerId","bankName","branchName","investmentExperiencesStock","investmentExperiencesPublicBond","investmentExperiencesInvestmentTrust","investmentExperiencesFutures","investmentExperiencesForeignCurrencyDeposits","investmentExperiencesForexMarginTrading","investmentExperiencesMarginTrading","financialWorkExperience","foreignPoliticallyExposedPerson","incomeSource","job","annualIncome","assetAmount","assetType","investmentPurpose","investmentPolicy","kycStatus","identificationStatus","howYouKnowThisProductByHomePage","howYouKnowThisProductByNewsRelease","howYouKnowThisProductByEposCardMail","howYouKnowThisProductByFriend","howYouKnowThisProductBySns","howYouKnowThisProductByOtherWay","howYouKnowThisProductByOtherWayComment","whyYouChooseThisProductBecauseAgreeWithConcept","whyYouChooseThisProductBecauseInterestIsGood","whyYouChooseThisProductBecauseEposPointsGiven","whyYouChooseThisProductBecauseBonusPointsAdded","whyYouChooseThisProductBecauseReasonablePrice","whyYouChooseThisProductBecauseOtherReason","whyYouChooseThisProductBecauseOtherReasonComment","reserved01","reserved02","reserved03","reserved04","reserved05","reserved06","reserved07","reserved08","reserved09","reserved10","reserved11","reserved12","reserved13","reserved14","reserved15","reserved16","reserved17","reserved18","reserved19","reserved20"
"z001","田中","宏晃","タナカ","ヒロアキ","日本",1999,7,20,"男性","0313246688","1002384","東京都","墨田区","東駒形2-4-4","ハイタウン314",,50,50,,,,,,,,,"なし","3年未満","なし","3年未満","5年未満","5年未満","なし","無し","該当しません","利子・配当収入","経営者・役員","500～1,000万円","300～1,000万円","準備資金","短期的な値動きによる利益獲得","元本の安全性重視",,,"Yes","No","Yes","Yes","No","No","コメント","Yes","Yes","Yes","Yes","No","Yes","コメントコメント",,,,,,,,,,,,,,,,,,,,
"z002","岸山","晃","キシヤマ","アキラ","日本",2000,3,3,"男性","07069814523","9967754","山形県","米沢市","大町3-5-309",,,50,50,,,,,,,,,"5年未満","3年未満","5年未満","3年未満","なし","1年未満","なし","無し","該当しません","不動産収入","専業主婦・主夫","300万円未満","3,000万円～5,000万円","余裕資金","その他","分配金や利金による収入と共に、値上がり益を追求",,,"Yes","Yes","Yes","No","No","No",,"No","No","Yes","No","Yes","Yes",,,,,,,,,,,,,,,,,,,,,
"z003","坂野","桐子","サカノ","キリコ","日本",1983,3,4,"女性","0944060688","8687695","熊本県","熊本市北区","龍田陳内3-4-1003",,,50,50,,,,,,,,,"5年未満","3年未満","3年未満","なし","5年以上","3年未満","1年未満","無し","該当しません","事業収入","医師","300万円未満","1億円以上","余裕資金","その他","元本の安全性重視",,,"No","No","No","No","Yes","No","コメントコメント","Yes","No","Yes","Yes","No","No","コメントコメントコメント",,,,,,,,,,,,,,,,,,,,
"z004","川合","藍","カワイ","アイ","日本",1992,4,26,"女性","0395056214","1168765","東京都","杉並区","今川3-4-501",,,100,100,,,,,,,,,"5年以上","3年未満","なし","1年未満","なし","5年以上","5年以上","無し","該当しません","利子・配当収入","家事手伝い","500～1,000万円","3,000万円～5,000万円","生活資金","長期的な資産運用として","分配金による安定的な収入重視",,,"Yes","Yes","No","No","No","No",,"No","No","Yes","No","No","Yes",,,,,,,,,,,,,,,,,,,,,
"z005","高村","健一","タカムラ","ケンイチ","日本",2000,8,24,"男性","05037317662","1160138","東京都","練馬区","土支田3-3-6",,,10,10,,,,,,,,,"3年未満","5年未満","5年以上","なし","1年未満","5年未満","1年未満","無し","該当しません","その他","定年退職","2,000～3,000万円","1,000～3,000万円","余裕資金","長期的な資産運用として","分配金による安定的な収入重視",,,"No","Yes","Yes","Yes","No","No","コメント","No","Yes","No","No","Yes","Yes",,,,,,,,,,,,,,,,,,,,,
"z006","横山","弘康","ヨコヤマ","ヒロヤス","日本",1994,11,19,"男性","0162124444","0715474","北海道","札幌市北区","新琴似四条3-1-9",,,10,10,,,,,,,,,"5年以上","5年未満","3年未満","5年未満","5年未満","3年未満","5年以上","無し","該当しません","給与収入","自由業","1,000～2,000万円","300万円未満","準備資金","短期的な値動きによる利益獲得","利回り・値上がり益を追求",,,"Yes","No","No","Yes","No","Yes",,"Yes","Yes","No","No","Yes","No","コメントコメント",,,,,,,,,,,,,,,,,,,,
"z007","高橋","佳弘","タカハシ","ヨシヒロ","日本",2001,9,20,"男性","0796154430","6636821","兵庫県","姫路市","下手野1-3-10",,,100,10,,,,,,,,,"なし","5年以上","5年以上","5年以上","1年未満","5年以上","1年未満","無し","該当しません","年金","士業（公認会計士・弁護士・税理士・司法書士）","300～500万円","1億円以上","生活資金","その他","元本の安全性重視",,,"No","No","No","No","Yes","Yes","コメントコメント","No","Yes","Yes","No","No","No",,,,,,,,,,,,,,,,,,,,,
"z008","高田","勇一郎","タカダ","ユウイチロウ","日本",1990,8,13,"男性","05040371394","0888629","北海道","旭川市","六条通4-1-8","サンライズ212",,100,100,,,,,,,,,"なし","なし","5年未満","5年以上","3年未満","1年未満","5年以上","無し","該当しません","世帯主の収入","士業（公認会計士・弁護士・税理士・司法書士）","300～500万円","300万円未満","余裕資金","長期的な資産運用として","分配金や利金による収入と共に、値上がり益を追求",,,"No","Yes","No","Yes","Yes","No",,"No","No","Yes","Yes","Yes","No","コメントコメントコメント",,,,,,,,,,,,,,,,,,,,
"z009","高木","正教","タカギ","マサノリ","日本",1964,7,31,"男性","07022308784","8055490","福岡県","福岡市博多区","住吉3-3-8",,,10,10,,,,,,,,,"3年未満","なし","5年未満","5年未満","1年未満","5年未満","なし","無し","該当しません","利子・配当収入","経営者・役員","3,000万円以上","1,000～3,000万円","準備資金","短期的な値動きによる利益獲得","分配金による安定的な収入重視",,,"Yes","No","Yes","Yes","Yes","Yes","コメント","Yes","No","Yes","Yes","No","Yes",,,,,,,,,,,,,,,,,,,,,
"z010","北山","ゆい","キタヤマ","ユイ","日本",1995,9,7,"女性","07099215132","5663467","大阪府","大阪市中央区","南船場3-2-11",,,10,10,,,,,,,,,"5年以上","5年以上","1年未満","5年未満","3年未満","5年以上","なし","無し","該当しません","その他","大学生・大学院生","2,000～3,000万円","5,000～万円～1億円","生活資金","長期的な資産運用として","高い利回り・大幅な値上がり益を追求",,,"No","Yes","No","No","No","No",,"No","No","Yes","Yes","Yes","No",,,,,,,,,,,,,,,,,,,,,
